term,definition
IHSC,INTERNATIONAL HQ SUPPORT COMMAND
IIG,Iraqi Interim Government 
IISS,International Institute for Strategic Studies
IJHQ,Iraqi Joint Headquarters
IKM,Information and Knowledge Management
IKMI,Information and Knowledge Management Initiative
IL,Integrated Logistics 
ILO ,Integrated Logistics Operation 
IM,Information Management 
IMA,Implementation Management Authority 
IMAR,Iraqi Military Academy - Ar Rustamiyah (currently undergoing substantial rehabilitation)
IMARSAT ,International Marine Satellite (Telephone) 
I-MART,Imagery Management and Reporting Tool
IMC,INSTRUMENT METEOROLOGICAL CONDITIONS
iMETOC ,Integrated Meteorology and Oceanography 
IMINT,IMAGERY INTELLIGENCE
IMOD,Iraqi Ministry of Defense 
IMPR,INTEGRATED MANAGEMENT RESOURCE PLAN 
IMS,International Military Staff
IMSCOM,International Military Staff Message
IMSM,International Military Staff Memorandum
IMSTAM,IMS Staff Memorandum
IMSWM,International Military Staff Working Memorandum
IMU,Inertial Measurement System
INCWERA,IT Network Centric Warfare Enterprise Reference Architecture
INEC,Innovative Network Enabled Capability
INF,INFANTRY
INF,INTERMEDIATE RANGE NUCLEAR FORCES
INFO OPS,Information Operations 
INFOSEC,Information Security
ING,Iraqi National Guard
INMARSAT,INTERNATIONAL MARITIME SATELLITE
InSAS ,Interferometric Synthetic Aperture Sonar 
INTEL,INTELLIGENCE
INTELLIGENCE,CELL)
INTELREP,Intelligence Report
INTELSUM,Intelligence Summary
INTREQ,INTELLIGENCE REQUEST
INTWP,INTELLIGENCE INTER-SERVICE WORKING PARTY
IO,International Organizations
IO,Information Operations 
IOC,Initial Operational Capability
IOC,Interim Operational Capability
IOTR,Interoperability Test Requirements
IP,Internet Protocol
IPB,Intelligence Preparation of the Battlespace
IPC,Industrial Planning Committee
IPC,Initial Planning Conference
IPGs,Implementation Groups 
IPP,INDIVIDUAL PARTNERSHIP PROGRAMME
IPR,Intellectual Property Right
IPR/ DP,In-Process Review/ Decision Point
IPS,Iraqi Police Service
IPS,INITIAL PROCESSING SITE
IPT,Integrated Project Team (since March05 ICT)
IPTF,INTERNATIONAL POLICE TASK FORCE
IR,INTELLIGENCE REQUIREMENTS
IRB,INFRASTRUCTURE REVIEW BOARD
IRBM,INTERMEDIATE RANGE BALLISTIC MISSILE
IRF ,Immediate Reaction Forces 
IRLS,Infra-Red Line Scan
IRMO,Iraqi Reconstruction Management Office
IRR,Implementation Risk Register 
IRT,IMMEDIATE RESPONSE TEAM
IS,IMAGERY SERVER
IS,Information Superiority
IS,INFORMATION SYSTEM(S)
IS,Infrastructure Committee
IS,INTERNATIONAL STAFF
IS/DI,International Staff/ DI
ISAF,International Security Assistance Force
ISB,IMPROVED SHAPE BROADCAST
ISB,Intermediate Staging Base
ISC,Interoperability Sub-Committee 
ISCOMADEIRA,ISLAND COMMANDER MADEIRA
ISCOMAZORES,ISLAND COMMANDER AZORES
ISCOMBERMUDA,ISLAND COMMANDER BERMUDA
ISCOMFAROES,ISLAND COMMANDER FAROES
ISCOMGREENLAND,ISLAND COMMANDER GREENLAND
ISCOMICELAND,ISLAND COMMANDER ICELAND
ISDN,Integrated Services Digital Network
ISF,Iraqi Security Forces 
ISG,Implementation Steering Group
ISIT,Information Systems Interoperability Trials
ISM,Information & Systems Module
ISMA ,International Ship Managers' Association 
ISMAR ,Istituto per le Scienze Marine 
ISMS,Information & Systems Management Service
ISO,International Standards Organization
ISPE,Initial State Peacetime Establishment
ISR,"Intelligence, Surveillance and Reconnaissance"
ISR ICDT,"Intelligence, Surveillance and Reconnaissance Integrated Capabilities Development Team"
ISS,INTELLIGENCE INFORMATION SYSTEM
ISSC,INTEGRATED SOFTWARE SUPPORT CENTRE
IST ,Information Systems Technology (RTO Panel) 
ISTC,International Specialized Training Center 
IT,Information Technology 
ITC,Iraqi Training Command 
ITC ,Instrumented Tow Cable 
ITCC,Iraqi Training Coordination Cell (HQ SACT)
ITCG,Iraqi Training Coordination Group (HQ SACT)
ITCM,Information Technology and Crisis Management
ITEC,IMPROVED THEATRE NUC FORCES EMERGENCY COMMUNICATIONS
I-TEDC,IRAQI TRAINING EDUCATION DOCTRINE CENTER
ITL ,Italian Lire 
ITMDP,Integrated Theatre Missile Defence Planning  
ITP,INSTRUCTIONS TO THE PARTIES
ITPN,Intelligence Transformation Plan for NATO
ITTF,Iraqi Training Task Force 
IUKADGE,IMPROVED UK AIR DEFENCE GROUND ENVIRONMENT
IVSN,Initial Voice Switched Network 
IW,Information Warfare
IWS,Information Work Space 
J,JOINT (MULTI-SERVICE)
JA,SERBIA/MONTENEGRO
JAC,JOINT ANALYSIS CENTRE (MOLESWORTH)
JADL,Joint Advanced Distance Learning
JAFJO,Concept for Alliance Future Joint Operations
JAG,Joint Analysis Group
JAGS,Judge Advocat General Corps
JALLC,Joint Analysis and Lessons Learned Centre (ex PAT)
JAPCC,Joint Air Power Competence Center
JASMIN,JOINT ANALYSIS SYSTEM MILITARY INTELLIGENCE
JCB,Joint Consultative Board
JCC,JOINT CIVIL COMMISSION
JCCIS,GE Joint CCIS system
JCIET,Joint Combat ID Evaluation Team (now JFIIT)
JCIMS,Joint CID Marking Systems 
JCIS,JOINT COUNTERINTELLIGENCE SECTION
JCO,JOINT COMMISSION OBSERVER
JCO,Joint Coordination Order
JCOC,JOINT COMMAND OPERATIONS CENTRE
JCP,Joint Committee on Proliferation
JCS,JOINT CHIEFS OF STAFF
JCT,Joint Training Centre
JD,Job Description
JDAM,Joint Direct Attack Munition
JDISS,JOINT DEFENCE INTELLIGENCE SUPPORT SERVICES
JEB,Joint Effects Branch 
JEEA,"Joint Experimentation, Exercises & Assessment"
JEG,Joint Effects Group
JEL,Joint Electronic Library
JEMM,Joint Exercise Management Module
JET,Joint Education & Training
JFACC,Joint Forces Air Component Command
JFACC,JOINT FORCES AIR COMPONENT COMMANDER
JFATG,Joint Functional Area Training Guide
JFC,Joint Forces Command (NATO)
JFCOM,Joint Forces Command (US)
JFLCC,Joint Forces Land Component Command
JFMCC,Joint Forces Maritime Component Command
JFRFL,Joint Forces Restricted Frequency List
JFTC,Joint Forces Training Centre
JHG,Joint HQ
JIAC,Joint Information Analysis Centre
JIB,Joint Information Bureau
JIC,JOINT INTELLIGENCE CENTER
JINT WG,Joint Intelligence Interservice Working Group
JIPTC,Jordan International Police Training Centre
JISR,"Joint Intelligence, Surveillance and Reconnaissance"
JISR CDT,"Joint Intelligence, Surveillance and Reconnaissance Capabilities Development Team"
JJIPT,Joint Warfare Centre/Joint Force Training Centre IPT 
JJJ,"JWC, JALLC and JFTC "
JJJ IPC,J(WC)J(FTC)J(ALLC) INITIAL PLANNING CONFERENCE
JJJ IPT,J(WC)J(FTC)J(ALLC) Integrated Project Team
JLOC,JOINT LOGISTIC OPERATIONS CENTRE
JLPC,Joint Logistics Planning Group
JM,Joint Manoeuvre 
JMC,Joint Medical Committee
JMC,JOINT MILITARY COMMISSION
JMCC,JOINT MOVEMENT CONTROL CENTRE
JMET,Joint Mission Essential Task
JMETL,Joint Mission Essential Task List
JO,Joint Operations
JOA,Joint Operations Area 
JOC,JOINT OPERATIONS CENTRE
JOIC,JOINT OPERATIONAL INTELLIGENCE CELL(S)
JOIIS,Joint Operational Intelligence Information System
JOPES,Joint Operation Planning and Execution System (US)
JOPG,Joint Operational Planning Group
JP,Joint Publication (US)
JPDAL,Joint Prioritised Defended Asset List
JPO,Joint Precision Fires 
JPOTF,Joint Psychological Operations Task Force
JRA,Joint Rear Area
JRC,Joint Reconnaissance Centre
JRIC,Joint Regional Information Center
JRP ,Joint Research Project 
JRSOM,"Joint Reception, Staging, onward Movement"
JSB,Joint Service Board
JSCP,Joint Staff Screening 
JSCP,Joint Strategic Capabilities Plan
JSOTF,Joint Special Operations Task Force
JSRC,Joint Search and Rescue Centre
JSRC,JOINT SUB-REGIONAL COMMAND (FORMER PSC)
JSSR,Joint Staff Screening Report 
JSTARS,JOINT SURVEILLANCE AND TARGET ATTACK RADAR SYSTEM
JSTPS,JOINT STRATEGIC PLANNING STAFF
JTCB,Joint Targeting Coordination Board
JTCW,Joint Tactical COP Workstation
JTF,JOINT TASK FORCE
JTFEX,Joint Task Force Exercise 
JTFNORTHNORWAY,JOINT TASK FORCES NORTH NORWAY
JTIDS,JOINT TACTICAL INFORMATION DISTRIBUTION SYSTEM
JTS ,Joint Targeting System
JTWG,Joint Targeting Working Group
JUO,Joint Urban Operations
JWC,Joint Warfare Centre
JWFC,Joint Warfighting Center
JWID,Joint Warfighter Interoperability Demonstration
JWID,Joint Warrior Interoperability Demonstration (becoming CWID)
JWID ,Joint Warrior Interoperability Demonstration
Kbps,Kilo bits per second
KCAT,Kosovo Crisis Response Operation Analysis Team 
KFOR,Kosovo Force
KIA,KILLED IN ACTION
KLA,Kosovo Liberation Army 
KLT,Kosovo Liaison Team
KM,Knowledge Management 
KMC,KEY MISSION COMPONENT
KRYL ,Polish Harbour Defence System 
KTs,Key Tasks
KWH ,Kilowatt-Hour 
L/I,Lessons Identified
L/L,Lessons Learned
LA&R,"Logistics, Armaments and Resources"
LAN,Local Area Network
LAN,Local Area Network
LANDCENT,ALLIED LAND FORCES CENTRAL EUROPE  (closed)
LANDJUT,ALLIED LAND FORCES SCHLESWIG-HOLSTEIN AND JUTLAND  (closed)
LANDSOUTH,ALLIED LAND FORCES SOUTHERN EUROPE (closed)
LANDSOUTHCENT,"ALLIED LAND FORCES, SOUTH CENTRAL EUROPE (closed)"
LANDSOUTHEAST,ALLIED LAND FORCES SOUTHEASTERN EUROPE (closed)
LANDZEALAND,LAND FORCES ZEALAND (closed)
LASW ,Littoral Anti-Submarine Warfare 
LAV,LIGHT ARMOURED VEHICLE
LBL,Long BaseLine 
LBW,LONG BARREL WEAPON
LC2IEDM,Land Command and Control Information Exchange Data Model
LC2IS,Land Command Control Information System/ Services
LC2IS,Land C2 Information System
LCAC,LANDING CRAFT AIR CUSHION
LCC,Land Component Commander
LCC,LOGISTICS CONTROL (OR COORDINATION) CENTRE
LCC,Land Component Command
LCCIS,Land Command Control Information System/ Services
LCCS,Land Command and Control Services
LCE,LIAISON CO-ORDINATION ELEMENT
LCM,Life Cycle Management
LCMG,Life Cycle Management Group
LCP,LEASED CIRCUIT PROGRAMME
LCTR,
LDW,Loss Damage Waiver
LEC,LOCAL ELECTION COMMISSION
LEO ,CRV Leonardo 
LERB,ACLANT EXERCISE REVIEW BOARD
LF,LANDING FORCE
LF ,Low Frequency 
LFAS ,Low Frequency Active Sonar 
LFPAC,Logistic Force Planning Advisory Committee
LFSAS,Low Frequency Synthetic Aperture Sonar
LFTAS,Low Frequency Towed Array Sonar
LHA,AMPHIBIOUS ASSAULT SHIP
LHD,LANDING SHIP DOCK
LIBS,Laser Induced Breakdown Spectroscopy 
LIP,LONG-TERM INFRASTRUCTURE PROGRAMME
LIVEX,Live Exercise
LKA,AMPHIBIOUS CARGO SHIP
LL,Lessons Learned
LLE,Lessons learned exchange
LLE&AO,Lessons learned exchange & Analysis Objectives
LLGBAD,Low level Ground Based Air Defence 
LMCC,LOCE MOBILE CORRELATION CENTRE
LMIDS,Low Maintenance Intrusion Detection System
LNO,Liaison Officer
LO,Land Operation
LO,Land Offensive
LO,LIAISON OFFICER
LO WG,Land Operations Working Group 
LoA,Letter of Agreement
LOA,Level of Ambition
LOC,Letter of Commendation
LOC,LINE OF COMMUNICATION
LOCE,"LINKED OPERATIONAL-INTELLIGENCE CENTRES, EUROPE"
LOGFAS,Logistic Functional Area System
LOGREP,Logistics Report
LoI,Letter of Instruction
LOJI ,Loss Of Job Indemnity 
LOMEZ,LOW MISSILE ENGAGEMENT ZONE
LOS,LINE OF SIGHT
LPD,LANDING PLATFORM-DOCK
LPH,LANDING PLATFORM-HELICOPTER
LRBM,LONG-RANGE BALLISTIC MISSILE
LRINF,LONGER-RANGE INTERMEDIATE RANGE NUCLEAR FORCES
LRMP,LONG-RANGE MARITIME PATROL AIRCRAFT
LRRP,LONG RANGE RECONNAISSANCE PATROL
LRSOM,LONG-RANGE STAND-OFF MISSILE
LRTIF,LONG-RANGE THEATRE NUCLEAR FORCES
LSB,LOGISTIC SUPPORT BASE
LSD,LANDING SHIP DOCK
LSD,LOGISTIC SUPPORT DETACHMENT
LSE,LOGISTIC SUPPORT ELEMENT
LSI,Lead Systems Integration 
LSL,LANDING SHIP LOGISTIC
LSM,Littoral Sea Mine 
LTAMC,Leader and Team Adaptability in Multinational Coalitions:  Cultural Diversity in Cognition and Teamwork
LTCR,Long Term Capabilities Requirements
LTEP,Long Term Engagement Plan
LTFP,LONG-TERM FORCE PLANNING
LTPA,LONG-TERM PLANNING AREA
LTPG,LONG-TERM PLANNING GUIDELINE
LTR,Long Term Requirements
LTRS,Long Term Requirement Study 
LTT,Line to take
LTS,LONG TERM STUDY
LUA,Lunch Under Attack
LW,Lethal Weapon
LZ,LANDING ZONE
M&R ,Maintenance and Repair 
M&S,Maintenance and Support
M&T,Movement and Transport
M&TG,Movements and Transportation Group 
M&TP,Movements and Transport Panel 
"M1, M2, M6 ",Elements of the Underwater Warfare Statement of Operational Requirements 
MA,Mission Analysis 
MA,MILITARY ASSISTANT
MA,Mission Assessment
MACI,MCCIS Architecture Convergence Initiative 
MAD,Mutual Assured Destruction
MAD,MAGNETIC ANOMALY DETECTOR
MAD ,Magnetic Anomaly Detector 
MAG,Major Armaments Group 
MAG,Military Armaments Groups
MAGTF,MARINE AIR-GROUND TASK FORCE (US)
MALE,Medium Altitude Long Endurance 
MANPADS,MAN PORTABLE AIR DEFENCE SYSTEM
MANPADS,Man-Portable Air Defense Systems
MARAIREASTLANT,"MARITIME AIR FORCES, EASTERN ATLANTIC AREA"
MARAIRMED,MARITIME AIR FORCES MEDITERRANEAN
MARAIRNORTHWEST,MARITIME AIR FORCES NORTHWEST
MARCONFOR,MARITIME CONTINGENCY FORCE
MARCONFORPLAN,MARITIME CONTINGENCY FORCE PLAN
MAREVAL,Maritime Evaluation
MAROPS ,Maritime Operations 
MAROPS WG,Maritime Operations Working Group 
MARREP,MARITIME REPORTING
MAS,MILITARY AGENCY FOR STANDARDIZATION
MASF,Mobile Aeromedical Staging Facility
MASH,MOBILE ARMY SURGICAL HOSPITAL
MAST ,Marine Science And Technology 
MASWSTRIKFOR,MARINE ASW STRIKING FORCE
MB,MILITARY BUDGET
MBC,Military Budget Committee
MBFR,MUTUAL AND BALANCED FORCE REDUCTIONS
Mbps,Mega bits per second
MBRL,MULTIPLE BARRELED ROCKET LAUNCHER
MBT,MAIN BATTLE TANK
MC,Military Committee
MC ,Mission Control 
MC/ CS,Military Committee in Chief of Staff Session
MC/CS,Military Committee in Chiefs Of Staff Session
MC/PS,Military Committee in Permanent Session
MCADSWG,MC Air Defence Sub Working Group
MCC,Maritime Componend Commander
MCC,MOVEMENT CONTROL CENTRE
MCC,Maritime Component Command
MCC ,Maritime Component Commander 
MCCIS,Maritime CCIS 
MCCIS ,Maritime Command and Control Information System 
MCG,Mediterranean Cooperation Group
MCM,MILITARY COMMITTEE Memorandum
MCM ,Mine Countermeasures 
MCMFN ,Mine Countermeasures Force North 
MCMFS ,Mine Countermeasures Force South 
MCMV ,Mine Countermeasures Vessel 
MCO,Multiple Corps Size Operation
MCRS,MILITARY COMMUNICATIONS REQUIREMENTS
MCSF,MULTINATIONAL CRYPTOLOGICAL SUPPORT FACILITY
MCSST ,Multi-Channel Sea Surface Temperature 
MCWG,Military Cooperation Working Group
MCWG(SI),Military Cooperation Working Group (Strategic Issues)
MD,Mediterranean Dialogue (nations)
MDA,Militair Domain Awarness 
MDA,Mine Danger Area 
MDA,Missile Defence Agency
MDC,Missile Defence Capability 
MDF,MAIN DEFENCE FORCES
MDFS,Missile Defence Feasibility Study 
MDMCPCM,Mediterranean Dialogue Military Programme Consultation Meetings 
MDMP,Mediterranean Dialogue Military Programme
MDPG,Missile Defence Planning Group
MDW,Mine Disposal Weapons
MEB,MARINE EXPEDITIONARY BRIGADE (US)
MEDCENT,CENTRAL MEDITERRANEAN AREA
MEDEAST,EASTERN MEDITERRANEAN AREA
MEDEVAC,Medical Evacuation
MEDNOREAST,NORTHEAST MEDITERRANEAN AREA
MEF,MARINE EXPEDITIONARY FORCE (US)
MEF,MISSION ESSENTIAL FORCE
MEL,MASTER EVENTS LIST
MERB,MARITIME EXERCISE REVIEW BOARD
MERIS ,Medium Resolution Imaging Spectrometer 
METL,MISSION ESSENTIAL TASK LIST
METL,Mission Essential Task List 
METOC ,Meteorology and Oceanography 
METT,Mobile Education & Training Team
MEU,MARINE EXPEDITIONARY UNIT (US)
MEUG,MCM Expert User Group
MEZ,MISSILE ENGAGEMENT ZONE
MF,Military Functions 
MFA,Ministry of Foreign Affairs
MFRS,MARITIME FORCE REQUIREMENT STUDY
MG,Ministerial Guidance 
MH ,Minehunting 
MHP,Materials Handling Panel 
MHSM,Mine Hunting Simulation Model
MI,MILITARY INTELLIGENCE
MIA,MISSING IN ACTION
MIAPOW,MISSING IN ACTION - PRISONER OF WAR
MIC ,Multinational Interoperability Council
MICV,MECHANISED INFANTRY COMBAT VEHICLE
MIER,Maritime Information Exchange Requirements
MIIA,NATO Interoperable ISR Architecture 
MILCO,MIne Like Contact
MILOC ,Military Oceanography 
MIMO ,Multiple-input-multiple-output 
MINER,Mine-warfare Intelligent NATO Evaluation Range
MIO,Maritime Interdiction Operation
MIP,MILITARY INTELLIGENCE PUBLICATION
MIP,Multinational Interoperability Programme 
MIP 256 ,Minewarfare Publication 256 
MIPIS,Multilateral Interoperability Program Information System
MIR,NMC INTEROPERABILITY REQUIREMENTS
MIRV,MULTIPLE INDEPENDENTLY-TARGETABLE RE-ENTRY VEHICLE
MIS ,Management Information System 
MISPO,Mission Sponsor
MIT ,Massachusetts Institute of Technology 
MJLC,Multinational Joint Logistics Centre (or Coordination)
MJO,Major Joint Operation - larger than an NRF operation
MJO-minus,An operation smaller than an MJO - An NRF operation falls into this category
MJO-plus,An operation larger than an MJO
ML,Maritime Logistics and Replenishment at Sea Working Group
ML&RAS WG,Maritime Logistics
MLRS,MULTIPLE LAUNCH ROCKET SYSTEM
MM,MILITARY MISSION
MM ,Marine Mammal 
MM/ HDRM,Marine Mammal and Human Diver Risk Mitigation
MMHS,Military Message Handling System 
MMOU,MULTILATERAL MEMORANDUM OF UNDERSTANDING
MMP,Move Management Plan
MMR,MIMINUM MILITARY REQUIREMENT
MMS ,Marine Mammal System
MMRM,Marine Mammal Risk Mitigation
MMSC,Maritime Multi Mission Support Centres
MNB,MULTI-NATIONAL BRIGADE
MNC ,Major NATO Command(er) 
MNC-I,HQ Multinational Corps Iraq
MND,Mission Need Document
MND(C),"MULTINATIONAL DIVISION, CENTRAL"
MND-CS,Multinational Division (Centre South)
MND-SE,Multinational Division (Southeast ?)
MNE,Multinational Exercise
MNF,MULTINATIONAL FORCES
MNF-I,HQ Multi-National Force Iraq
MNF-I,Multi-National Forces in Iraq
MNIG,Multinational Interagency Group
MNMF,MULTINATIONAL MARITIME FORCES
MNSTC-I,Multi-National Security Transition Command – Iraq  
MOA,MEMORANDUM OF AGREEMENT
MOA,MISSION ORIENTATED APPROACH
MOB,MAIN OPERATING BASE
MOB,MISSILE ORDER OF BATTLE
MOC,MOVEMENT OPERATIONS CENTER
MOD,MINISTRY OF DEFENCE
MODIS ,Moderate Resolution Imaging Spectroradiometer 
MOE ,Measures of Effectiveness 
MOGAS,GASOLINE/PETROL FOR GROUND VEHICLES AND EQUIPMENT
MOI,Ministry of Interior
MOLS,Maritime Operational Language Seminar 
MOOTW,Military Operations Other Than war
MOP,Measures of Performance
MOP,MAXIMUM OCCUPANCY PLAN
MOP,Measures of Progress 
MOR,MILITARY OPERATIONAL REQUIREMENT
MOTS,Military Of The Shelf
MOU ,Memorandum Of Understanding 
MOVCON,MOVEMENT CONTROL
MP,MILITARY POLICE
MPA,MARITIME PATROL AIRCRAFT
MPS,Mission Planning System
MPC,MAIN PLANNING CONFERENCE
MPC,Mid-Term Planning Conference
MPL ,"Marine Physics Laboratory (Scripps Institute of Oceanography, US+B155) "
MPR,Multi Purpose Room
MRBDO ,Mission Rules Based Data Order 
MRBM,MEDIUM-RANGE BALLISTIC MISSILE
MRC,"Morale, Welfare and Recreation "
MRCA,MULTI-ROLE COMBAT AIRCRAFT
MREA ,Maritime Rapid Environmental Assessment 
MRH,Memoranda of Receipt Holdings
MRL,MULTIPLE ROCKET LAUNCHER (MARITIME REAR LINK)
MRLS,MULTIPLE ROCKET LAUNCHER SYSTEM
MRR,MARITIME RADAR RECONNAISSANCE
MRT,Mission Rehearsal Training 
MRT,Mission Ready in Theatre 
MRV,MULTIPLE RE-ENTRY VEHICLE
MS,Micro Soft
MS,Multi Static 
MS,MINE-SWEEPER
MSA,MultiStatic Sensor
MS DEMO ,Multistatic Demonstration 
MS LFAS,Mono- / Multi Static Low Frequency Active Sonar
MS/ PS,Military Committee in Permanent Session
MSC,MAJOR SUBORDINATE COMMANDER
MSE,MAIN STAFF ELEMENT
MSF,Médecins Sans Frontières 
MSF,Monitoring & Surveillance Forces 
MSIAC,Munitions Safety Information Analysis Center
MSOW,MODULAR STAND-OFF WEAPONS
MSRA,Military Suitability and Risk Assessment 
MSPE,MultiStatic Processing Engine
MSTPA ,Multistatic Tactical Planning Aid 
MSU,Multi-national Support Unit 
MT,Managing Transformation
MT,Mission Type
MTDS,Mission Training via Distributed Simulation 
MTEP,Military Training and Exercise Programme
MTF,Message Text Format
MTF,MEDICAL TREATMENT FACILITY
MTF,Multinational Task Force
MTFP,Medium Term Financial Plan
MTI,Military Task for Interoperability
MTI,MNC TASKS FOR INTEROPERABILITY
MTI,MOVING TARGET INDICATOR
MTN,MISSION TO NATO
MTRP,Medium Term Resource Plan
MTT,Mobile Training Teams
MUA,Military Utility Assessment 
MUP,MINISTRY OF INTERNAL AFFAIRS SPECIAL POLICE
MUSCLE ,Minehunting UUV for Shallow water Covert Littoral Expeditions 
MV,MILITARY VIGILANCE
MW,Minewarfare
MW/AW ,Minewarfare/Amphibious Warfare 
MWA,MORALE AND WELFARE ACTIVITIES
MWDC,Mine Warfare Data Centre
MWDC ,Mine Warfare Data Centre 
MWHQ,MAIN WAR HEADQUARTERS
MWHQ,MOBILE WAR HEADQUARTERS
MWP,Military Worth Panel
MWR,"MORAL, WELFARE AND RECREATION"
MWWG ,Mine Warfare Working Group 
MYR,Mid Year Review
N/A,Not Applicable
NA,Needs Assessment
NAAG,NATO Army Armaments Group
NAC,North Atlantic Council
NACC,North Atlantic CO-Operation Council
NACISC,NATO CIS Committee
NACMA,NATO Air Command and Control System (ACCS) Management Agency
NACMO,NATO Air Command and Control System (ACCS) Management Organisation
NACMO BOD,NATO Air Command and Control System (ACCS) Management Organisation Boards of Directors
NACOSA,"NATO Communications and Information System (CIS) Operating and Support Agency, now NCSA"
NACSI,NATO ADVISORY COMMITTEE FOR SPECIAL INTELLIGENCE
NAD,National Armaments Director
NAD ,Non-Acoustic Detection 
NADC,NATO Air Defence Committee
NADGE,NATO AIR DEFENCE GROUND ENVIRONMENT
NADREPS,National Armaments Directors Represetatives
NAEGIS,NATO AIRBORNE EARLY WARNING GROUND INTEGRATION SEGMENT
NAEW,NATO AIRBORNE EARLY WARNING
NAEWF,NATO AIRBORNE EARLY WARNING FORCE
NAF,NATO Assigned Forces
NAFAG,NATO Air Force Armaments Group 
NAFAWG,NATO Air Force Armaments Working Group
NAFS,NATO Automated Financial System
NAG,National Advisory Group
NAI,NATO Agreed Intelligence
NAI WG,Naval Ammunition Interchangeability Working Group 
NALS,NATIONAL LIAISON STAFF
NAMILCOM,NORTH ATLANTIC MILITARY COMMITTEE
NAMP ,NATO Annual Manpower Plan 
NAMSA,NATO MAINTENANCE AND SUPPLY AGENCY
NAPMA,NATO AEW & C PROGRAMME MANAGEMENT AGENCY
NAPMO,NATO AEW & C PROGRAMME MANAGEMENT ORGANIZATION
NASIP,NAEW SYSTEM IMPROVEMENT PLAN
NAT,NATO Advisory Teams
NATINADS,NATO INTEGRATED AIR DEFENCE SYSTEM
NATMC,NATO Air Traffic management Committee
NATO,North Atlantic Treaty Organization
NATO SMART,NATO Simulated Mission And Rehearsal Training
NAU,NATO ACCOUNTING UNIT
NAVN ,NAVNORTH 
NAVNORTHWEST,ALLIED NAVAL FORCES NORTHWESTERN EUROPE
NAVORBAT,NAVAL ORDER OF BATTLE
NAVS ,NAVSOUTH 
NAVSOUTH,ALLIED NAVAL FORCES SOUTHERN EUROPE
NBC,"NUCLEAR, BIOLOGICAL AND CHEMICAL"
NBCD,"Nuclear, Biological and Chemical Defense"
NBCMED,"Nuclear, Biological and Chemical Medical"
NBCMED WG,NBC Medical Working Group
NBI,NUCLEAR BURST INDICATOR
NC3A,"NATO Command, Control and Consultation Agency"
NC3B,"NATO Command, Control and Consultation Board"
NC3O,"NATO Consultation, Command and Control (C3) Organisation "
NC3REPS,GROUP OF NATIONAL C3 REPRESENTATIVES
NC3S,"NATO Consultation, Command & Control Staff "
NC3TA,NATO C3 Technical Architecture 
NCA,NATO Command Arrangements 
NCAO,Network Centric Air Operations
NCC JOC,National Command Center JOC
NCCIS,NATO COMMAND CONTROL AND INFORMATION SYSTEM
NCF,NATO COMPOSITE FORCE
NCIA,NATIONAL COUNTER INTELLIGENCE AUTHORITY
NCIRC,NATO Computer Incident Response Capability
NCIS,NATO COMMON INTEROPERABILITY STANDARDS
NCISS,NATO CIS School (Latina)
NCISS,NATO Communications and Information System School
NCN,NATO CIRCUIT NUMBERS
NCO,Non Commissioned Officer
NCOIC,Network Centric Operations Industrial Consortium
NCPR,NATO CIVILIAN PERSONNEL REGULATIONS
NCRS,NATO Crisis Response System
NCRSM,NATO Crisis Response System Manual
NCS,NATO Command Structure
NCS,NATO Committee for Standardization
NCS,NAVAL CONTROL OF SHIPPING
NCSA,NATO Communication and Information Systems (CIS) Services Agency
NCSA ,NATO CIS Services Agency
NCSR,NATO Command Structure Review
NCW,Network Centric Warfare
NCWA,NATO CIVIL WARTIME AGENCY
NDA,NATIONAL DEFENSE AUTHORITY
NDB,NUCLEAR DEPTH BOMB
NDC,NATO Defense College
NDMAA,NATO Defence Manpower Audit Authority
NDMC,NATO Defence Manpower Committee
NDPASS,NATO Defense Planning Automated Support System
NEC,NATO EXERCISE CONFERENCE
NEC,NORTHERN EUROPEAN COMMAND
NEC ,Network Enabled Capabilities 
NEC CCIS,North European Command CCIS
NECB,NATO EXERCISE COORDINATION BOARD
NED,North East Down
NEF,NATO Education Facilitie
NEO,NON-COMBATANT EVACUATION OPERATION
NEPB,NATO EXERCISE POLICY BOARD
NETEEP,"NATO Education, Training, Exercise and Evaluation Policy"
NETF,NATO Education and Training Facilities
NETF,NATO Education and Training Facilities 
NETF,NATO EXPANDED TASK FORCE
NEWAC,NATO Electronic Warfare Advisory Commitee
NFFI,NATO Friendly Force Indicator
NFFI,NATO Friendly Force Identification
NFFT,Nato Friendly Force Tracker
NFR,NATO Financial Regulations
NFRS,MULTINATIONAL FORCE REQUIREMENTS STUDY
NFS,NATO Force Structure
NFSR,NATO Force Structure Review
NFZ,NO-FLY-ZONE
NG2 ,Naval Group 2 (Anti-Submarine Warfare) 
NG3 ,Naval Group 3 (Mines and Mine Countermeasures) 
NGA,NATO GUIDELINES AREA
NGAS,Next Generation Autonomous Sensors
NGCS,NATO General Purpose Segment Communications System 
NGO,NON-GOVERNMENTAL ORGANIZATION
NGO ,Non-Governmental Organisation 
NGS,NAVAL GUNFIRE SUPPORT
NHQ,NATO Headquarters
NHQC3S,"NATO Headquarters Consultation, Command & Control Staff"
NIAB,NATO INTELLIGENCE ADVISORY BOARD
NIAG,NATO Industrial Advisory Group
NIAP,Nato Intelligence Assessment on Proliferation
NIB,NATO INTELLIGENCE BOARD
